REGION_CATEGORIA_PRODUCTO,MES,AVG_PRECIO_LISTA,AVG_DESC_PORCENTAJE
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-06-01 00:00:00.000,80900,3
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-07-01 00:00:00.000,82200,4
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-08-01 00:00:00.000,83500,4
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-09-01 00:00:00.000,84800,4
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-10-01 00:00:00.000,86100,4
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-11-01 00:00:00.000,87500,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-12-01 00:00:00.000,88800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-01-01 00:00:00.000,89900,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-02-01 00:00:00.000,91200,6
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-03-01 00:00:00.000,92100,6
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-04-01 00:00:00.000,92800,6
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-05-01 00:00:00.000,93500,7
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-06-01 00:00:00.000,37600,6
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-07-01 00:00:00.000,38100,7
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-08-01 00:00:00.000,38700,7
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-09-01 00:00:00.000,39200,7
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-10-01 00:00:00.000,39700,7
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-11-01 00:00:00.000,40200,7
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-12-01 00:00:00.000,40600,6
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-01-01 00:00:00.000,40900,7
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-02-01 00:00:00.000,41200,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-03-01 00:00:00.000,41500,4
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-04-01 00:00:00.000,42000,3
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-05-01 00:00:00.000,42600,2
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-06-01 00:00:00.000,39800,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-07-01 00:00:00.000,40500,7
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-08-01 00:00:00.000,41100,7
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-09-01 00:00:00.000,41700,7
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-10-01 00:00:00.000,42300,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-11-01 00:00:00.000,43000,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-12-01 00:00:00.000,43700,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2026-01-01 00:00:00.000,44400,7
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2026-02-01 00:00:00.000,45200,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2026-03-01 00:00:00.000,45800,3
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2026-04-01 00:00:00.000,46600,3
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2026-05-01 00:00:00.000,47600,3
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-06-01 00:00:00.000,18900,4
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-07-01 00:00:00.000,19200,4
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-08-01 00:00:00.000,19400,4
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-09-01 00:00:00.000,19700,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-10-01 00:00:00.000,20000,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-11-01 00:00:00.000,20300,4
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-12-01 00:00:00.000,20600,4
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2026-01-01 00:00:00.000,20900,4
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2026-02-01 00:00:00.000,21100,4
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2026-03-01 00:00:00.000,21400,4
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2026-04-01 00:00:00.000,21800,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2026-05-01 00:00:00.000,22200,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-06-01 00:00:00.000,366100,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-07-01 00:00:00.000,370500,6
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-08-01 00:00:00.000,374700,6
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-09-01 00:00:00.000,378900,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-10-01 00:00:00.000,383700,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-11-01 00:00:00.000,388100,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-12-01 00:00:00.000,393000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2026-01-01 00:00:00.000,398500,6
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2026-02-01 00:00:00.000,404200,6
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2026-03-01 00:00:00.000,411100,7
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2026-04-01 00:00:00.000,420300,7
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2026-05-01 00:00:00.000,429600,6
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-06-01 00:00:00.000,211500,5
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-07-01 00:00:00.000,214200,5
