ID,TIMESTAMP_COL,REGION_CATEGORIA_PRODUCTO,REGION,CATEGORIA,PRODUCTO,FECHA,TIPO,M3_PRODUCTO,LOWER_BOUND,UPPER_BOUND,PERCENT_CHANGE_MONTH_OVER_MONTH
1,2025-07-08 15:42:05.000,Antioquia-Bebida de Té-Té Negro Zulianita 300mL x 6uds,Antioquia,Bebida de Té,Té Negro Zulianita 300mL x 6uds,2023-01-01,HISTÓRICO,1.0098,,,
2,2025-07-08 15:42:05.000,Antioquia-Bebida de Té-Té Negro Zulianita 300mL x 6uds,Antioquia,Bebida de Té,Té Negro Zulianita 300mL x 6uds,2023-02-01,HISTÓRICO,0.8334,,,-17.468805704
3,2025-07-08 15:42:05.000,Antioquia-Bebida de Té-Té Negro Zulianita 300mL x 6uds,Antioquia,Bebida de Té,Té Negro Zulianita 300mL x 6uds,2023-03-01,HISTÓRICO,1.3644,,,63.714902808
4,2025-07-08 15:42:05.000,Antioquia-Bebida de Té-Té Negro Zulianita 300mL x 6uds,Antioquia,Bebida de Té,Té Negro Zulianita 300mL x 6uds,2023-04-01,HISTÓRICO,1.521,,,11.477572559
5,2025-07-08 15:42:05.000,Antioquia-Bebida de Té-Té Negro Zulianita 300mL x 6uds,Antioquia,Bebida de Té,Té Negro Zulianita 300mL x 6uds,2023-05-01,HISTÓRICO,1.3482,,,-11.360946746
6,2025-07-08 15:42:05.000,Antioquia-Bebida de Té-Té Negro Zulianita 300mL x 6uds,Antioquia,Bebida de Té,Té Negro Zulianita 300mL x 6uds,2023-06-01,HISTÓRICO,2.3634,,,75.300400534
7,2025-07-08 15:42:05.000,Antioquia-Bebida de Té-Té Negro Zulianita 300mL x 6uds,Antioquia,Bebida de Té,Té Negro Zulianita 300mL x 6uds,2023-07-01,HISTÓRICO,2.3238,,,-1.675552171
8,2025-07-08 15:42:05.000,Antioquia-Bebida de Té-Té Negro Zulianita 300mL x 6uds,Antioquia,Bebida de Té,Té Negro Zulianita 300mL x 6uds,2023-08-01,HISTÓRICO,1.9602,,,-15.646785438
9,2025-07-08 15:42:05.000,Antioquia-Bebida de Té-Té Negro Zulianita 300mL x 6uds,Antioquia,Bebida de Té,Té Negro Zulianita 300mL x 6uds,2023-09-01,HISTÓRICO,1.7964,,,-8.356290174
10,2025-07-08 15:42:05.000,Antioquia-Bebida de Té-Té Negro Zulianita 300mL x 6uds,Antioquia,Bebida de Té,Té Negro Zulianita 300mL x 6uds,2023-10-01,HISTÓRICO,2.2392,,,24.649298597
