REGION_CATEGORIA_PRODUCTO,MES,AVG_PRECIO_LISTA,AVG_DESC_PORCENTAJE
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-06-01 00:00:00.000,102800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-07-01 00:00:00.000,102800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-08-01 00:00:00.000,102800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-09-01 00:00:00.000,102800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-10-01 00:00:00.000,102800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-11-01 00:00:00.000,102800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-12-01 00:00:00.000,102800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-01-01 00:00:00.000,102800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-02-01 00:00:00.000,102800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-03-01 00:00:00.000,102800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-04-01 00:00:00.000,102800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-05-01 00:00:00.000,102800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-06-01 00:00:00.000,46800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-07-01 00:00:00.000,46800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-08-01 00:00:00.000,46800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-09-01 00:00:00.000,46800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-10-01 00:00:00.000,46800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-11-01 00:00:00.000,46800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-12-01 00:00:00.000,46800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-01-01 00:00:00.000,46800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-02-01 00:00:00.000,46800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-03-01 00:00:00.000,46800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-04-01 00:00:00.000,46800,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-05-01 00:00:00.000,46800,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-06-01 00:00:00.000,52300,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-07-01 00:00:00.000,52300,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-08-01 00:00:00.000,52300,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-09-01 00:00:00.000,52300,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-10-01 00:00:00.000,52300,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-11-01 00:00:00.000,52300,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-12-01 00:00:00.000,52300,6
